Taxonkey,TaxonName,CommonName,Descript,TaxLevel,ISSCAAP,ISSCAAPName
690051,Aristeus antennatus,Blue and red shrimp,shrimp                                            ,6,45,Shrimps prawns
690052,Callinectes sapidus,Blue crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690053,Mytilus edulis,Blue mussel,demersal mollusc                                  ,6,54,Mussels
690054,Litopenaeus stylirostris,Blue shrimp,shrimp                                            ,6,45,Shrimps prawns
690055,Portunus pelagicus,Blue swimming crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690059,Illex coindetii,Broadtail shortfin squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690060,Perna viridis,Brown mussel,demersal mollusc                                  ,6,54,Mussels
690064,Saxidomus gigantea,Butter clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690065,Argopecten gibbus,Calico scallop,demersal mollusc                                  ,6,55,Scallops pectens
690067,Loligo vulgaris,Cape Hope squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690069,Jasus lalandii,Cape rock lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690070,Melicertus kerathurus,Caramote prawn,shrimp                                            ,6,45,Shrimps prawns
690071,Panulirus argus,Caribbean spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690075,Ostrea chilensis,Chilean flat oyster,demersal mollusc                                  ,6,53,Oysters
690076,Mytilus chilensis,Chilean mussel,demersal mollusc                                  ,6,54,Mussels
690077,Heterocarpus reedi,Chilean nylon shrimp,shrimp                                            ,6,45,Shrimps prawns
690078,Loxechinus albus,Chilean sea urchin,demersal mollusc                                  ,6,76,Seacucumbers Echinoderms starfish nei
690081,Aulacomya ater,Cholga mussel,demersal mollusc                                  ,6,54,Mussels
690082,Choromytilus chorus,Choro mussel,demersal mollusc                                  ,6,54,Mussels
690085,Sepia officinalis,Common cuttlefish,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690087,Cardium edule,Common edible cockle,demersal mollusc                                  ,6,56,Clams cockles arkshells
690088,Octopus vulgaris,Common octopus,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690089,Littorina littorea,Common periwinkle,demersal mollusc                                  ,6,52,Abalones winkles conchs
690090,Palaemon serratus,Common prawn,shrimp                                            ,6,45,Shrimps prawns
690091,Crangon crangon,Common shrimp,shrimp                                            ,6,45,Shrimps prawns
690092,Palinurus elephas,Common spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690100,Farfantepenaeus brevirostris,Crystal shrimp,shrimp                                            ,6,45,Shrimps prawns
690105,Callinectes danae,Dana's swimming crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690109,Parapenaeus longirostris,Deepwater rose shrimp,shrimp                                            ,6,45,Shrimps prawns
690115,Cancer magister,Dungeness crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690119,Cancer pagurus,Edible crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690120,Metapenaeus endeavouri,Endeavour shrimp,shrimp                                            ,6,45,Shrimps prawns
690122,Echinus esculentus,European edible sea urchin,demersal mollusc                                  ,6,76,Seacucumbers Echinoderms starfish nei
690123,Ostrea edulis,European flat oyster,demersal mollusc                                  ,6,53,Oysters
690124,Todarodes sagittatus,European flying squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690125,Homarus gammarus,European lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690126,Solen vagina,European razor clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690127,Concholepas concholepas,False abalone,demersal mollusc                                  ,6,52,Abalones winkles conchs
690133,Fenneropenaeus chinensis,Fleshy prawn,shrimp                                            ,6,45,Shrimps prawns
690143,Portunus trituberculatus,Gazami crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690146,Haliotis gigantea,Giant abalone,demersal mollusc                                  ,6,52,Abalones winkles conchs
690151,Penaeus monodon,Giant tiger prawn,shrimp                                            ,6,45,Shrimps prawns
690156,Pecten maximus,Great Atlantic scallop,demersal mollusc                                  ,6,55,Scallops pectens
690157,Pecten jacobaeus,Great Mediterranean scallop,demersal mollusc                                  ,6,55,Scallops pectens
690158,Carcinus maenas,Green crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690161,Jasus verreauxi,Green rock lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690163,Penaeus semisulcatus,Green tiger prawn,shrimp                                            ,6,45,Shrimps prawns
690166,Ruditapes decussatus,Grooved carpet shell,demersal mollusc                                  ,6,56,Clams cockles arkshells
690167,Microcosmus sulcatus,Grooved sea squirt,demersal mollusc                                  ,6,74,Sea-squirts and other tunicates
690168,Parapenaeopsis atlantica,Guinea shrimp,shrimp                                            ,6,45,Shrimps prawns
690169,Scapharca cornea,Half-crenated ark,demersal mollusc                                  ,6,56,Clams cockles arkshells
690176,Mactra sachalinensis,Hen clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690180,Turbo cornutus,Horned turban,demersal mollusc                                  ,6,52,Abalones winkles conchs
690182,Limulus polyphemus,Horseshoe crab,demersal mollusc                                  ,6,75,Horseshoe crabs and other arachnoids
690185,Chlamys islandica,Iceland scallop,demersal mollusc                                  ,6,55,Scallops pectens
690189,Fenneropenaeus indicus,Indian white prawn,shrimp                                            ,6,45,Shrimps prawns
690190,Scylla serrata,Indo-Pacific swamp crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690194,Haliporoides sibogae,Jack-knife shrimp,shrimp                                            ,6,45,Shrimps prawns
690196,Ruditapes philippinarum,Japanese carpet shell,demersal mollusc                                  ,6,56,Clams cockles arkshells
690198,Todarodes pacificus,Japanese flying squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
